TransactionID,MemberID,ItemDescription
66,461,Chips
66,461,Beer
66,461,Bananas
67,117,Bananas
67,117,Pasta
68,744,Yogurt
68,744,Butter
68,744,Chicken
69,506,Bananas
69,506,Tomatoes
70,284,Juice
70,284,Chicken
71,587,Pasta
72,993,Chips
73,170,Yogurt
73,170,Bread
74,779,Beer
74,779,Cola
75,977,Juice
76,93,Butter
77,853,Butter
77,853,Diaper
77,853,Chips
78,594,Milk
78,594,Lettuce
78,594,Eggs
78,594,Yogurt
78,594,Cheese
79,874,Eggs
79,874,Water
80,321,Milk
80,321,Juice
80,321,Cereal
80,321,Diaper
80,321,Yogurt
81,835,Milk
82,675,Eggs
83,815,Pasta
84,698,Cola
84,698,Milk
85,267,Eggs
85,267,Water
85,267,Cheese
85,267,Cola
86,591,Pasta
86,591,Yogurt
87,144,Juice
87,144,Chips
87,144,Milk
88,442,Chicken
89,677,Cola
89,677,Butter
89,677,Cheese
89,677,Eggs
90,342,Chicken
91,650,Yogurt
92,53,Cheese
92,53,Chips
92,53,Chicken
92,53,Apples
93,719,Bread
93,719,Yogurt
94,597,Chicken
94,597,Rice
95,117,Eggs
95,117,Yogurt
95,117,Water
95,117,Bread
96,846,Bananas
97,227,Juice
97,227,Yogurt
97,227,Pasta
97,227,Bananas
97,227,Lettuce
98,887,Bread
98,887,Rice
98,887,Lettuce
99,84,Tomatoes
99,84,Bread
99,84,Beer
100,761,Butter
100,761,Water
100,761,Juice
100,761,Milk
101,988,Yogurt
101,988,Cereal
101,988,Rice
101,988,Pasta
101,988,Juice
102,308,Eggs
102,308,Bananas
102,308,Milk
103,375,Milk
103,375,Bread
104,968,Cheese
104,968,Butter
105,646,Diaper
105,646,Butter
105,646,Cereal
106,333,Diaper
106,333,Butter
106,333,Cola
106,333,Apples
107,586,Yogurt
107,586,Diaper
107,586,Tomatoes
107,586,Chicken
107,586,Water
108,403,Eggs
108,403,Water
108,403,Cheese
108,403,Chicken
109,555,Chicken
109,555,Cola
110,802,Yogurt
111,789,Bananas
111,789,Lettuce
111,789,Water
112,603,Milk
113,613,Cheese
113,613,Eggs
113,613,Butter
113,613,Rice
114,128,Juice
114,128,Beer
114,128,Pasta
114,128,Chips
115,257,Beer
115,257,Butter
115,257,Pasta
116,236,Diaper
117,886,Diaper
117,886,Milk
117,886,Juice
118,209,Butter
118,209,Yogurt
118,209,Diaper
119,936,Juice
120,983,Cola
120,983,Chips
120,983,Tomatoes
120,983,Beer
121,969,Rice
121,969,Beer
122,611,Bread
122,611,Juice
122,611,Diaper
123,411,Juice
123,411,Bananas
124,143,Lettuce
124,143,Bananas
124,143,Beer
125,664,Tomatoes
125,664,Cheese
125,664,Chicken
125,664,Yogurt
126,887,Water
127,694,Beer
127,694,Pasta
127,694,Rice
127,694,Cheese
128,871,Cereal
128,871,Bread
128,871,Lettuce
128,871,Cola
129,801,Yogurt
129,801,Rice
129,801,Cola
129,801,Lettuce
130,358,Butter
130,358,Water
130,358,Milk
131,833,Bananas
131,833,Lettuce
132,143,Cereal
132,143,Cola
133,450,Tomatoes
133,450,Cheese
133,450,Cereal
133,450,Cola
133,450,Pasta
134,340,Bread
134,340,Water
134,340,Cheese
135,296,Chips
136,690,Beer
136,690,Juice
136,690,Milk
136,690,Lettuce
137,326,Eggs
137,326,Yogurt
137,326,Apples
137,326,Lettuce
138,717,Pasta
139,666,Bread
139,666,Water
139,666,Eggs
139,666,Beer
139,666,Cheese
140,577,Chicken
140,577,Tomatoes
140,577,Milk
140,577,Butter
141,288,Milk
141,288,Cola
141,288,Lettuce
141,288,Cereal
142,471,Eggs
142,471,Tomatoes
142,471,Cola
142,471,Milk
142,471,Yogurt
143,618,Chicken
143,618,Yogurt
143,618,Milk
144,233,Chicken
145,540,Cheese
145,540,Pasta
146,251,Apples
146,251,Cheese
147,469,Rice
147,469,Juice
147,469,Bread
148,184,Yogurt
148,184,Diaper
148,184,Bread
149,618,Bread
149,618,Cereal
150,590,Cheese
150,590,Cereal
150,590,Lettuce
150,590,Bread
150,590,Yogurt
151,440,Apples
151,440,Cola
152,10,Tomatoes
152,10,Butter
152,10,Chicken
152,10,Beer
152,10,Rice
153,595,Pasta
154,966,Cereal
154,966,Pasta
155,6,Lettuce
155,6,Eggs
155,6,Bread
155,6,Milk
156,868,Bananas
156,868,Apples
156,868,Tomatoes
156,868,Yogurt
157,338,Cola
158,281,Butter
158,281,Bananas
158,281,Chicken
159,880,Cola
159,880,Lettuce
159,880,Bread
159,880,Beer
159,880,Water
160,957,Cereal
160,957,Water
161,736,Cheese
161,736,Cola
161,736,Rice
161,736,Bread
161,736,Yogurt
162,370,Beer
162,370,Eggs
162,370,Bread
162,370,Milk
163,970,Bread
163,970,Bananas
163,970,Chips
163,970,Lettuce
163,970,Water
164,437,Pasta
164,437,Bread
165,83,Cereal
165,83,Diaper
165,83,Cheese
166,943,Chicken
166,943,Apples
166,943,Rice
166,943,Chips
166,943,Cola
167,166,Juice
167,166,Cola
167,166,Chicken
168,662,Rice
168,662,Juice
168,662,Bread
168,662,Milk
168,662,Lettuce
169,75,Cheese
169,75,Cereal
170,188,Diaper
171,561,Bread
171,561,Eggs
171,561,Rice
171,561,Cola
171,561,Chips
172,634,Lettuce
173,72,Rice
173,72,Juice
173,72,Water
173,72,Chicken
174,247,Juice
174,247,Lettuce
174,247,Chips
175,368,Eggs
175,368,Bread
175,368,Rice
175,368,Water
176,604,Rice
177,501,Water
177,501,Bread
177,501,Milk
177,501,Bananas
177,501,Butter
178,952,Apples
178,952,Pasta
178,952,Beer
178,952,Diaper
178,952,Bananas
179,486,Diaper
179,486,Yogurt
179,486,Cereal
180,288,Lettuce
181,562,Diaper
181,562,Rice
182,337,Butter
182,337,Bread
183,5,Butter
183,5,Cheese
183,5,Lettuce
183,5,Apples
183,5,Tomatoes
184,865,Milk
184,865,Bananas
185,184,Lettuce
185,184,Milk
185,184,Beer
185,184,Cereal
186,958,Butter
186,958,Milk
186,958,Cereal
186,958,Cola
186,958,Chicken
187,350,Water
188,648,Cola
188,648,Diaper
188,648,Yogurt
188,648,Bananas
189,826,Tomatoes
190,110,Beer
191,567,Diaper
191,567,Tomatoes
191,567,Beer
191,567,Water
192,42,Bread
192,42,Eggs
193,624,Rice
194,841,Cola
194,841,Bread
195,80,Water
196,2,Rice
196,2,Eggs
197,622,Yogurt
197,622,Bananas
197,622,Beer
197,622,Bread
198,680,Milk
199,105,Beer
199,105,Eggs
199,105,Water
199,105,Rice
199,105,Diaper
200,679,Yogurt
200,679,Pasta
200,679,Tomatoes
201,453,Diaper
201,453,Beer
201,453,Cheese
202,866,Eggs
202,866,Butter
202,866,Lettuce
202,866,Apples
203,29,Eggs
203,29,Water
203,29,Rice
203,29,Milk
204,632,Diaper
205,644,Pasta
206,238,Lettuce
206,238,Milk
206,238,Pasta
206,238,Cola
207,564,Chicken
208,441,Cereal
208,441,Water
209,995,Rice
209,995,Yogurt
209,995,Butter
209,995,Chicken
209,995,Milk
210,104,Diaper
211,393,Apples
211,393,Milk
211,393,Cola
211,393,Bananas
211,393,Cereal
212,810,Bread
213,901,Pasta
213,901,Beer
214,138,Lettuce
214,138,Rice
214,138,Chips
214,138,Eggs
214,138,Tomatoes
215,552,Chips
215,552,Bread
215,552,Pasta
216,244,Cola
216,244,Lettuce
216,244,Yogurt
217,533,Beer
218,418,Chips
219,119,Lettuce
220,604,Juice
220,604,Yogurt
220,604,Milk
220,604,Cola
220,604,Chicken
221,66,Bread
221,66,Chicken
221,66,Cereal
221,66,Bananas
222,544,Tomatoes
222,544,Juice
223,921,Eggs
223,921,Rice
223,921,Apples
223,921,Butter
223,921,Juice
224,786,Tomatoes
224,786,Eggs
224,786,Juice
225,419,Beer
225,419,Yogurt
225,419,Diaper
226,388,Rice
226,388,Milk
227,990,Milk
227,990,Apples
227,990,Water
227,990,Chicken
228,746,Tomatoes
228,746,Rice
229,938,Cereal
229,938,Juice
229,938,Milk
230,126,Diaper
230,126,Juice
230,126,Cola
231,270,Bananas
231,270,Water
231,270,Milk
231,270,Tomatoes
231,270,Lettuce
232,3,Juice
232,3,Diaper
232,3,Chicken
232,3,Bread
232,3,Yogurt
233,513,Cereal
233,513,Rice
233,513,Apples
233,513,Lettuce
233,513,Chicken
234,6,Chips
234,6,Eggs
234,6,Rice
234,6,Butter
235,191,Tomatoes
235,191,Apples
235,191,Yogurt
235,191,Water
236,256,Eggs
236,256,Cereal
236,256,Lettuce
236,256,Water
236,256,Tomatoes
237,202,Juice
237,202,Cereal
237,202,Yogurt
237,202,Pasta
237,202,Chicken
238,175,Lettuce
238,175,Diaper
238,175,Cola
238,175,Cereal
239,278,Milk
240,715,Pasta
240,715,Apples
240,715,Milk
241,434,Cereal
241,434,Cola
241,434,Beer
241,434,Bread
242,521,Cola
242,521,Chicken
242,521,Eggs
242,521,Butter
243,895,Tomatoes
243,895,Chips
243,895,Cereal
244,241,Eggs
244,241,Chicken
244,241,Juice
245,303,Chicken
245,303,Bananas
245,303,Apples
246,78,Lettuce
247,460,Cola
247,460,Lettuce
247,460,Beer
247,460,Rice
248,791,Eggs
248,791,Water
248,791,Cheese
248,791,Butter
248,791,Juice
249,451,Cola
249,451,Butter
249,451,Beer
250,280,Yogurt
250,280,Lettuce
250,280,Butter
251,610,Water
251,610,Lettuce
252,833,Milk
252,833,Tomatoes
253,837,Rice
253,837,Cheese
253,837,Tomatoes
253,837,Lettuce
253,837,Water
254,396,Beer
254,396,Eggs
254,396,Bread
254,396,Cereal
254,396,Juice
255,489,Apples
256,685,Cola
256,685,Cheese
256,685,Milk
256,685,Tomatoes
257,465,Yogurt
257,465,Cereal
257,465,Cola
257,465,Chicken
257,465,Pasta
258,963,Cola
258,963,Milk
258,963,Chicken
258,963,Juice
259,868,Bananas
260,766,Water
261,449,Water
262,775,Cereal
262,775,Eggs
262,775,Cheese
262,775,Butter
262,775,Juice
263,399,Diaper
263,399,Rice
263,399,Cheese
263,399,Eggs
263,399,Chicken
264,866,Diaper
264,866,Apples
264,866,Beer
264,866,Butter
264,866,Bread
265,349,Beer
266,509,Bread
266,509,Lettuce
266,509,Chicken
267,121,Milk
267,121,Chicken
268,810,Juice
268,810,Cheese
268,810,Tomatoes
268,810,Apples
268,810,Pasta
269,922,Eggs
269,922,Beer
269,922,Bread
270,149,Lettuce
271,346,Butter
272,6,Cereal
272,6,Beer
272,6,Butter
272,6,Eggs
272,6,Rice
273,660,Eggs
273,660,Water
274,154,Bread
274,154,Yogurt
275,573,Eggs
275,573,Beer
275,573,Lettuce
276,564,Cola
276,564,Rice
277,664,Milk
278,654,Rice
278,654,Yogurt
278,654,Chips
279,590,Chips
279,590,Water
279,590,Pasta
280,484,Chicken
280,484,Rice
280,484,Water
281,301,Juice
281,301,Cola
281,301,Apples
282,131,Juice
282,131,Cereal
282,131,Cola
282,131,Diaper
282,131,Pasta
283,920,Tomatoes
283,920,Yogurt
283,920,Juice
283,920,Water
284,914,Bread
284,914,Yogurt
284,914,Cereal
284,914,Rice
284,914,Chicken
285,121,Apples
285,121,Yogurt
285,121,Water
286,879,Cola
286,879,Butter
286,879,Chips
286,879,Cheese
286,879,Lettuce
287,859,Apples
287,859,Diaper
287,859,Water
288,128,Beer
288,128,Tomatoes
289,641,Yogurt
289,641,Milk
289,641,Pasta
289,641,Beer
290,50,Juice
290,50,Pasta
291,328,Apples
291,328,Rice
292,362,Tomatoes
293,224,Chips
293,224,Rice
293,224,Beer
293,224,Water
293,224,Pasta
294,961,Rice
295,853,Cereal
295,853,Water
295,853,Butter
295,853,Yogurt
296,998,Eggs
296,998,Tomatoes
297,671,Tomatoes
298,550,Cheese
298,550,Milk
298,550,Pasta
298,550,Chips
298,550,Tomatoes
299,874,Butter
300,532,Beer
301,970,Cheese
301,970,Bread
302,988,Yogurt
302,988,Rice
302,988,Pasta
302,988,Bananas
302,988,Diaper
303,798,Beer
303,798,Cheese
303,798,Eggs
303,798,Lettuce
304,754,Cereal
305,445,Beer
305,445,Cola
306,344,Bread
306,344,Lettuce
306,344,Cheese
307,326,Apples
307,326,Beer
307,326,Tomatoes
308,183,Cheese
308,183,Chicken
308,183,Lettuce
309,511,Cereal
309,511,Water
309,511,Yogurt
309,511,Cheese
309,511,Bananas
310,42,Pasta
310,42,Chips
311,789,Lettuce
311,789,Milk
311,789,Butter
312,580,Eggs
312,580,Tomatoes
313,896,Cola
313,896,Cereal
313,896,Diaper
313,896,Yogurt
313,896,Tomatoes
314,676,Tomatoes
314,676,Cheese
314,676,Butter
314,676,Milk
314,676,Cola
315,133,Milk
315,133,Lettuce
315,133,Rice
315,133,Apples
316,414,Rice
316,414,Apples
317,865,Eggs
317,865,Cereal
317,865,Yogurt
318,88,Chicken
318,88,Tomatoes
318,88,Pasta
318,88,Cereal
319,219,Tomatoes
319,219,Bananas
320,423,Lettuce
320,423,Bread
320,423,Rice
320,423,Eggs
320,423,Chicken
321,140,Cereal
321,140,Yogurt
321,140,Juice
321,140,Lettuce
322,270,Rice
322,270,Cola
322,270,Beer
323,519,Bananas
323,519,Juice
323,519,Beer
323,519,Eggs
324,325,Chicken
324,325,Diaper
324,325,Rice
324,325,Chips
325,881,Yogurt
325,881,Pasta
326,330,Bread
326,330,Apples
327,27,Juice
328,619,Yogurt
329,66,Water
329,66,Diaper
330,564,Cereal
330,564,Juice
330,564,Cola
330,564,Chips
331,987,Lettuce
331,987,Eggs
332,86,Cheese
332,86,Chicken
332,86,Water
333,177,Eggs
333,177,Cereal
333,177,Bananas
333,177,Cheese
334,897,Tomatoes
334,897,Cola
335,72,Chips
335,72,Lettuce
335,72,Apples
335,72,Bread
335,72,Water
336,309,Rice
337,107,Cereal
337,107,Milk
337,107,Bread
338,576,Milk
338,576,Water
338,576,Yogurt
338,576,Chips
339,180,Chips
339,180,Eggs
339,180,Butter
339,180,Bread
339,180,Beer
340,896,Bananas
340,896,Pasta
341,219,Cola
342,581,Cola
343,470,Chips
343,470,Cola
344,677,Chips
344,677,Rice
344,677,Milk
344,677,Eggs
345,362,Chicken
345,362,Butter
345,362,Tomatoes
345,362,Rice
345,362,Juice
346,658,Bread
346,658,Tomatoes
346,658,Milk
347,602,Juice
347,602,Apples
348,716,Tomatoes
348,716,Beer
348,716,Yogurt
348,716,Eggs
349,76,Yogurt
349,76,Cola
350,435,Cheese
350,435,Rice
350,435,Milk
351,924,Yogurt
352,957,Cereal
352,957,Butter
353,20,Tomatoes
353,20,Eggs
353,20,Juice
354,383,Pasta
354,383,Eggs
354,383,Lettuce
355,42,Lettuce
355,42,Pasta
355,42,Juice
355,42,Chicken
356,850,Juice
356,850,Butter
356,850,Eggs
357,468,Juice
357,468,Milk
358,332,Tomatoes
359,888,Rice
359,888,Juice
359,888,Butter
360,181,Rice
360,181,Cola
360,181,Milk
360,181,Chicken
361,339,Bread
361,339,Water
361,339,Beer
362,713,Tomatoes
362,713,Beer
362,713,Lettuce
363,164,Diaper
364,369,Yogurt
364,369,Water
364,369,Cheese
364,369,Milk
364,369,Chicken
365,34,Bread
365,34,Beer
365,34,Water
365,34,Lettuce
365,34,Apples
366,684,Bread
366,684,Lettuce
367,996,Rice
368,406,Beer
368,406,Bread
368,406,Eggs
368,406,Tomatoes
368,406,Apples
369,965,Diaper
370,817,Cereal
371,380,Cola
371,380,Bananas
372,978,Lettuce
373,150,Yogurt
373,150,Cereal
374,239,Juice
374,239,Butter
374,239,Diaper
374,239,Apples
375,121,Pasta
375,121,Cereal
375,121,Milk
376,399,Bananas
376,399,Tomatoes
377,735,Bread
377,735,Chips
377,735,Cereal
377,735,Milk
378,613,Butter
378,613,Lettuce
378,613,Diaper
378,613,Beer
378,613,Pasta
379,46,Chicken
379,46,Butter
379,46,Cheese
379,46,Eggs
379,46,Chips
380,908,Lettuce
380,908,Butter
380,908,Beer
380,908,Tomatoes
381,631,Apples
381,631,Pasta
381,631,Milk
382,423,Bananas
382,423,Cereal
382,423,Beer
383,637,Apples
383,637,Cheese
383,637,Tomatoes
383,637,Cola
384,887,Beer
385,740,Yogurt
385,740,Bananas
385,740,Chips
385,740,Juice
385,740,Beer
386,566,Bread
386,566,Tomatoes
386,566,Beer
386,566,Cola
386,566,Juice
387,411,Bread
387,411,Apples
387,411,Milk
388,693,Cereal
388,693,Cheese
388,693,Cola
388,693,Pasta
388,693,Apples
389,655,Eggs
389,655,Rice
389,655,Chips
389,655,Pasta
390,628,Juice
390,628,Bread
390,628,Beer
390,628,Pasta
390,628,Rice
391,849,Water
391,849,Rice
391,849,Pasta
392,948,Cereal
393,473,Diaper
393,473,Cheese
393,473,Lettuce
393,473,Cereal
394,158,Eggs
394,158,Beer
394,158,Diaper
394,158,Rice
395,550,Diaper
395,550,Pasta
395,550,Juice
395,550,Water
395,550,Tomatoes
396,139,Cola
396,139,Milk
396,139,Bread
397,491,Cola
397,491,Water
397,491,Chips
397,491,Beer
398,591,Butter
398,591,Diaper
398,591,Chips
398,591,Cola
398,591,Beer
399,417,Apples
399,417,Cereal
399,417,Beer
400,618,Bread
400,618,Lettuce
400,618,Butter
400,618,Cola
400,618,Chicken
401,319,Tomatoes
402,42,Eggs
403,575,Bread
404,170,Cheese
404,170,Pasta
404,170,Butter
404,170,Apples
405,866,Beer
406,407,Cheese
407,783,Cola
407,783,Lettuce
408,594,Cheese
408,594,Water
409,218,Cola
409,218,Butter
410,374,Water
410,374,Diaper
410,374,Yogurt
410,374,Chicken
411,822,Lettuce
411,822,Apples
411,822,Bananas
412,587,Chips
412,587,Milk
413,703,Diaper
413,703,Rice
414,572,Bananas
415,548,Water
415,548,Cola
415,548,Apples
416,562,Chips
417,226,Milk
418,508,Pasta
418,508,Chips
418,508,Milk
418,508,Cheese
419,681,Beer
419,681,Chicken
419,681,Tomatoes
419,681,Pasta
420,619,Bananas
420,619,Chicken
420,619,Apples
420,619,Yogurt
420,619,Pasta
421,185,Chicken
421,185,Water
422,617,Butter
422,617,Water
422,617,Bananas
422,617,Lettuce
422,617,Chicken
423,115,Eggs
423,115,Beer
423,115,Chips
424,239,Juice
425,988,Tomatoes
425,988,Lettuce
426,432,Chips
427,341,Butter
427,341,Lettuce
427,341,Cereal
428,583,Cola
428,583,Chicken
428,583,Cheese
429,140,Eggs
429,140,Cereal
429,140,Bread
429,140,Pasta
430,240,Milk
430,240,Pasta
430,240,Rice
431,9,Cheese
432,516,Bread
432,516,Water
432,516,Butter
432,516,Chicken
432,516,Cereal
433,817,Yogurt
433,817,Lettuce
433,817,Butter
433,817,Water
433,817,Beer
434,662,Cola
435,435,Pasta
436,111,Milk
436,111,Juice
436,111,Pasta
436,111,Cheese
436,111,Water
437,541,Diaper
437,541,Rice
437,541,Butter
438,275,Chips
438,275,Water
438,275,Cereal
438,275,Beer
439,722,Lettuce
439,722,Chicken
439,722,Cereal
439,722,Tomatoes
440,765,Bananas
440,765,Chips
440,765,Cereal
440,765,Rice
440,765,Diaper
441,253,Juice
441,253,Chicken
441,253,Cheese
441,253,Water
442,434,Pasta
442,434,Chicken
442,434,Yogurt
442,434,Chips
442,434,Milk
443,481,Diaper
443,481,Pasta
443,481,Cheese
444,142,Butter
444,142,Lettuce
444,142,Eggs
444,142,Chicken
445,714,Eggs
446,950,Apples
446,950,Chicken
446,950,Chips
446,950,Juice
446,950,Lettuce
447,849,Apples
447,849,Butter
448,26,Beer
448,26,Yogurt
448,26,Cola
449,991,Chicken
449,991,Juice
450,900,Tomatoes
450,900,Lettuce
451,496,Bananas
451,496,Cheese
451,496,Lettuce
452,817,Milk
452,817,Eggs
452,817,Butter
452,817,Beer
452,817,Cereal
453,331,Chips
453,331,Eggs
453,331,Lettuce
453,331,Bread
453,331,Chicken
454,490,Butter
454,490,Beer
455,34,Tomatoes
455,34,Butter
455,34,Bread
455,34,Cola
456,258,Rice
457,603,Lettuce
457,603,Diaper
457,603,Beer
457,603,Pasta
457,603,Cereal
458,172,Juice
458,172,Rice
458,172,Diaper
458,172,Cola
458,172,Cereal
459,608,Chips
459,608,Tomatoes
459,608,Apples
459,608,Juice
460,520,Yogurt
460,520,Water
461,275,Milk
461,275,Butter
462,213,Juice
462,213,Yogurt
462,213,Water
462,213,Tomatoes
463,490,Water
464,250,Apples
464,250,Chips
464,250,Cereal
464,250,Rice
464,250,Bananas
465,870,Chips
465,870,Beer
465,870,Water
465,870,Milk
465,870,Apples
466,318,Milk
466,318,Cereal
466,318,Bread
466,318,Cheese
467,665,Cereal
467,665,Chips
467,665,Rice
467,665,Bread
468,416,Pasta
468,416,Juice
468,416,Eggs
468,416,Water
468,416,Cheese
469,680,Beer
469,680,Juice
469,680,Cheese
470,900,Yogurt
470,900,Milk
471,11,Bananas
471,11,Juice
472,754,Juice
472,754,Butter
472,754,Bread
472,754,Cheese
473,901,Cola
473,901,Diaper
474,531,Juice
474,531,Milk
474,531,Chips
474,531,Bananas
475,782,Apples
475,782,Rice
476,459,Chicken
476,459,Cheese
476,459,Rice
477,153,Apples
477,153,Eggs
478,320,Milk
478,320,Cereal
478,320,Cheese
478,320,Tomatoes
479,184,Beer
479,184,Bread
479,184,Chicken
480,306,Pasta
481,713,Eggs
481,713,Tomatoes
482,538,Chicken
482,538,Rice
483,803,Eggs
483,803,Yogurt
483,803,Rice
483,803,Beer
484,865,Lettuce
485,718,Butter
486,9,Cheese
486,9,Tomatoes
486,9,Apples
487,46,Bananas
487,46,Cereal
487,46,Chicken
488,321,Yogurt
488,321,Pasta
488,321,Chips
488,321,Apples
488,321,Milk
489,234,Water
489,234,Cola
489,234,Juice
490,157,Water
491,610,Cheese
491,610,Chips
491,610,Yogurt
491,610,Bananas
491,610,Juice
492,797,Cheese
493,381,Bananas
493,381,Diaper
494,31,Chips
494,31,Bread
494,31,Cheese
494,31,Milk
495,534,Juice
495,534,Tomatoes
495,534,Diaper
496,312,Milk
496,312,Tomatoes
496,312,Rice
496,312,Water
496,312,Cheese
497,79,Juice
497,79,Tomatoes
497,79,Diaper
498,162,Cheese
498,162,Lettuce
498,162,Diaper
498,162,Juice
499,796,Yogurt
500,924,Lettuce
501,253,Juice
501,253,Cheese
501,253,Eggs
501,253,Tomatoes
501,253,Diaper
502,93,Chicken
503,813,Cereal
504,499,Beer
504,499,Cola
504,499,Cheese
504,499,Water
504,499,Yogurt
505,320,Beer
505,320,Bananas
505,320,Cheese
505,320,Diaper
505,320,Water
506,561,Water
506,561,Diaper
506,561,Rice
507,533,Lettuce
507,533,Chips
507,533,Diaper
508,10,Yogurt
508,10,Diaper
508,10,Pasta
508,10,Lettuce
509,37,Juice
509,37,Cheese
509,37,Eggs
510,113,Chips
510,113,Butter
511,403,Bread
511,403,Apples
512,351,Chips
513,882,Milk
514,705,Juice
514,705,Cereal
514,705,Tomatoes
514,705,Beer
514,705,Diaper
515,824,Yogurt
515,824,Diaper
515,824,Bread
515,824,Apples
515,824,Bananas
516,551,Juice
516,551,Apples
516,551,Pasta
516,551,Chicken
517,790,Juice
518,51,Cheese
518,51,Chicken
519,44,Cola
519,44,Cheese
519,44,Chips
519,44,Milk
519,44,Eggs
520,961,Chicken
520,961,Bananas
520,961,Milk
521,590,Pasta
521,590,Bread
521,590,Chicken
522,330,Rice
523,341,Juice
523,341,Cereal
524,435,Tomatoes
525,765,Chicken
525,765,Lettuce
525,765,Apples
526,360,Apples
526,360,Milk
527,240,Chips
528,457,Lettuce
528,457,Rice
528,457,Chips
528,457,Cheese
529,44,Bananas
530,283,Water
530,283,Rice
531,235,Bread
531,235,Tomatoes
531,235,Eggs
531,235,Bananas
531,235,Apples
532,232,Chips
532,232,Milk
532,232,Eggs
533,202,Tomatoes
533,202,Beer
533,202,Yogurt
533,202,Lettuce
534,793,Yogurt
534,793,Apples
534,793,Cola
534,793,Bread
534,793,Tomatoes
535,55,Chips
535,55,Cheese
535,55,Cola
536,482,Water
537,414,Diaper
537,414,Water
538,963,Milk
538,963,Cheese
538,963,Beer
539,668,Bread
539,668,Milk
540,893,Water
540,893,Milk
541,856,Bananas
542,311,Beer
542,311,Juice
542,311,Chicken
542,311,Milk
542,311,Cheese
543,994,Pasta
543,994,Water
544,360,Bread
544,360,Milk
544,360,Apples
545,761,Chicken
545,761,Milk
545,761,Beer
545,761,Diaper
545,761,Water
546,142,Diaper
